data;hora;Número do pedido;Produto;Valor total de itens;forma de pagamento
02/05/2026;18:24:11;0442;X-Salada (Padrão),Frango salada;33,80;Cartão de Débito
02/05/2026;18:29:20;0180;Refrigerante lata,Lombo tudo;21,80;Cartão de Débito
02/05/2026;19:03:20;0183;Lombo salada;16,90;Cartão de Crédito
02/05/2026;19:06:42;0975;X-Completo (Padrão),Lombo salada,2xLombo completo,Frango tudo;109,50;Cartão de Crédito
02/05/2026;19:08:02;0099;X-Salada (Padrão),Batata frita grande,Filé tudo;50,70;Cartão de Crédito
02/05/2026;19:17:02;0557;Batata frita grande,2xRefrigerante litro;28,70;Pix
02/05/2026;19:29:55;0384;Lombo salada,Cerveja Lata,Frango salada;40,70;Pix
02/05/2026;19:31:17;0098;X-Tudo (Artesanal 150g),Molho da casa,Filé bacon;42,70;Cartão de Crédito
02/05/2026;19:34:34;0463;X-Salada (Padrão),Lombo tudo,Filé Completo;63,70;Cartão de Débito
02/05/2026;19:43:01;0018;X-Completo (Artesanal 150g),X-Tudo (Padrão);43,80;Cartão de Débito
02/05/2026;19:47:08;0539;Frango tudo,2xBatata frita grande,2xX-Bacon (Artesanal 150g);85,50;Cartão de Crédito
02/05/2026;19:55:28;0430;X-Salada (Artesanal 150g),2xFilé tudo;70,70;Pix
02/05/2026;19:56:03;0570;Molho de alho,Refrigerante litro,Batata frita pequena;18,70;Cartão de Débito
02/05/2026;20:08:21;0111;Lombo tudo;17,90;Cartão de Débito
02/05/2026;20:09:06;0414;Refrigerante litro;7,90;Pix
02/05/2026;20:12:25;0847;Cerveja Lata,2xRefrigerante lata,2xRefrigerante litro,3xFrango tudo;84,20;Pix
02/05/2026;20:17:55;0375;Lombo tudo,X-Completo (Padrão),Frango salada;59,70;Cartão de Crédito
02/05/2026;20:18:57;0177;Lombo salada,Molho de alho,X-Completo (Padrão),Lombo tudo;61,60;Cartão de Crédito
02/05/2026;20:21:04;0757;Refrigerante litro,X-Salada (Padrão),X-Salada (Artesanal 150g),X-Salada (Artesanal 150g);82,60;Pix
02/05/2026;20:23:43;0875;Lombo bacon,2xLombo bacon,Filé Completo,Refrigerante litro;84,50;Pix
02/05/2026;20:31:49;0426;X-Salada (Artesanal 150g);28,90;Pix
02/05/2026;20:39:31;0675;Lombo completo,X-Bacon (Artesanal 150g);45,80;Pix
02/05/2026;20:58:28;0056;Lombo completo,Molho de alho;26,80;Cartão de Crédito
02/05/2026;21:11:10;0166;Frango bacon;15,90;Dinheiro
02/05/2026;21:29:38;0560;Lombo bacon,Frango tudo;33,80;Pix
02/05/2026;21:51:17;0653;X-Tudo (Artesanal 150g),Filé Completo,Frango tudo;69,70;Cartão de Crédito
02/05/2026;21:54:38;0562;Batata frita grande,Filé bacon,Lombo tudo;48,70;Pix
02/05/2026;21:57:16;0429;Molho de alho;1,90;Cartão de Crédito
02/05/2026;22:09:11;0193;X-Tudo (Padrão),2xFrango tudo;53,70;Cartão de Débito
02/05/2026;22:12:27;0044;Frango bacon;15,90;Cartão de Débito
02/05/2026;22:17:06;0242;X-Salada (Padrão),2xLombo salada,3xX-Bacon (Artesanal 150g),Frango bacon;129,30;Cartão de Débito
02/05/2026;22:29:37;0865;Frango salada,Molho de alho,X-Completo (Artesanal 150g),Molho de alho;46,60;Pix
02/05/2026;22:33:58;0115;X-Tudo (Padrão),Frango bacon,Frango salada;50,70;Cartão de Débito
02/05/2026;22:43:58;0447;Refrigerante lata;3,90;Cartão de Crédito
02/05/2026;23:01:17;0138;X-Tudo (Padrão),Refrigerante litro;25,80;Cartão de Crédito
02/05/2026;23:03:38;0729;Molho de alho;1,90;Pix
02/05/2026;23:07:49;0383;X-Completo (Padrão);24,90;Dinheiro
02/05/2026;23:10:09;0420;Lombo salada;16,90;Dinheiro
02/05/2026;23:12:41;0811;Lombo completo,Lombo salada,Lombo completo,X-Tudo (Padrão);84,60;Cartão de Crédito
02/05/2026;23:19:08;0853;Cerveja Lata,X-Tudo (Artesanal 150g),X-Completo (Padrão),Lombo tudo;72,60;Cartão de Crédito
02/05/2026;23:20:43;0168;Molho de alho,2xX-Salada (Artesanal 150g),Refrigerante litro;67,60;Pix
02/05/2026;23:22:08;0526;Refrigerante lata,Frango tudo,Frango tudo,3xFilé Completo;126,40;Pix
02/05/2026;23:26:22;0761;2xRefrigerante litro,Filé salada;35,70;Pix
02/05/2026;23:37:06;0213;Batata frita pequena,Lombo salada;25,80;Cartão de Débito
02/05/2026;23:49:51;0231;Refrigerante lata,X-Tudo (Artesanal 150g),Frango salada;43,70;Cartão de Débito
02/05/2026;23:50:59;0427;Filé bacon,Batata frita grande,X-Salada (Artesanal 150g);59,70;Pix
02/05/2026;23:52:28;0466;Frango completo,Lombo salada;41,80;Pix
03/05/2026;18:06:14;0883;X-Bacon (Artesanal 150g);20,90;Pix
03/05/2026;18:09:01;0097;Batata frita pequena,Lombo completo,X-Bacon (Padrão),X-Salada (Padrão);66,60;Pix
03/05/2026;18:19:33;0224;2xX-Salada (Padrão),X-Tudo (Padrão),2xBatata frita pequena,X-Completo (Padrão);94,40;Cartão de Débito
03/05/2026;18:20:33;0251;Refrigerante litro,Filé Completo,Lombo bacon;52,70;Cartão de Débito
03/05/2026;18:33:07;0245;3xMolho de alho,X-Salada (Artesanal 150g);34,60;Cartão de Débito
03/05/2026;18:36:14;0949;Frango tudo;17,90;Cartão de Crédito
03/05/2026;18:39:09;0163;Filé Completo,X-Bacon (Artesanal 150g),Refrigerante litro;57,70;Dinheiro
03/05/2026;18:39:28;0298;Lombo bacon,Filé tudo;36,80;Dinheiro
03/05/2026;18:42:03;0850;Frango completo,Frango tudo,Filé bacon,2xX-Bacon (Padrão);92,50;Cartão de Crédito
03/05/2026;18:51:49;0835;2xX-Completo (Artesanal 150g),Filé bacon,Batata frita grande,2xBatata frita pequena;100,40;Cartão de Crédito
03/05/2026;18:54:08;0406;Filé salada;19,90;Dinheiro
03/05/2026;19:05:20;0147;X-Tudo (Padrão),X-Tudo (Padrão),X-Tudo (Padrão),Filé tudo;74,60;Pix
03/05/2026;19:05:45;0806;X-Tudo (Artesanal 150g);22,90;Cartão de Crédito
03/05/2026;19:12:12;0174;2xFilé salada,Filé tudo;60,70;Cartão de Crédito
03/05/2026;19:14:00;0612;Frango completo;24,90;Pix
03/05/2026;19:18:11;0110;X-Tudo (Padrão);17,90;Cartão de Crédito
03/05/2026;19:44:05;0944;3xFilé Completo,Refrigerante litro,Frango salada;111,50;Cartão de Débito
03/05/2026;19:47:05;0410;X-Bacon (Padrão),Lombo completo,X-Bacon (Artesanal 150g);61,70;Cartão de Crédito
03/05/2026;19:47:44;0572;Molho da casa;1,90;Cartão de Crédito
03/05/2026;19:50:47;0492;Batata frita pequena;8,90;Cartão de Débito
03/05/2026;19:56:57;0805;Molho da casa,2xFrango completo,Molho da casa;53,60;Cartão de Débito
03/05/2026;20:07:30;0823;X-Tudo (Padrão);17,90;Pix
03/05/2026;20:07:32;0228;Refrigerante litro,Frango bacon;23,80;Cartão de Débito
03/05/2026;20:10:35;0387;Frango salada,2xMolho da casa,X-Salada (Artesanal 150g),Refrigerante lata;53,50;Cartão de Débito
03/05/2026;20:12:01;0556;Refrigerante lata;3,90;Dinheiro
03/05/2026;20:21:48;0974;X-Salada (Padrão);16,90;Cartão de Crédito
03/05/2026;20:53:14;0763;Molho de alho,Lombo completo,Lombo salada;43,70;Pix
03/05/2026;20:55:20;0655;Lombo bacon,Molho de alho;17,80;Pix
03/05/2026;21:01:35;0218;2xBatata frita grande;25,80;Cartão de Crédito
03/05/2026;21:04:16;0184;Refrigerante lata,Filé salada,X-Bacon (Artesanal 150g);44,70;Pix
03/05/2026;21:04:55;0272;Lombo completo,Lombo salada,Frango completo;66,70;Cartão de Crédito
03/05/2026;21:05:05;0895;Refrigerante litro,Lombo completo;32,80;Pix
03/05/2026;21:06:33;0869;Frango salada,Filé Completo,Filé tudo,Filé bacon;84,60;Cartão de Débito
03/05/2026;21:08:19;0314;Filé salada,X-Salada (Artesanal 150g),Lombo tudo,2xLombo tudo;102,50;Dinheiro
03/05/2026;21:08:39;0321;Lombo salada,Molho da casa,X-Salada (Padrão);35,70;Cartão de Crédito
03/05/2026;21:12:04;0707;2xFilé bacon,Lombo bacon,Frango tudo;69,60;Cartão de Crédito
03/05/2026;21:16:58;0788;Filé tudo,X-Tudo (Padrão),X-Tudo (Artesanal 150g);61,70;Cartão de Débito
03/05/2026;21:20:58;0587;Refrigerante lata,Frango tudo;21,80;Dinheiro
03/05/2026;21:37:32;0023;Frango bacon,3xLombo salada,Frango bacon,2xFrango bacon;114,30;Pix
03/05/2026;21:39:26;0726;Lombo completo,X-Bacon (Padrão),Refrigerante lata;44,70;Cartão de Débito
03/05/2026;21:41:30;0832;X-Salada (Padrão),Refrigerante lata,Refrigerante litro;28,70;Pix
03/05/2026;21:52:24;0769;Frango completo;24,90;Cartão de Crédito
03/05/2026;22:11:38;0151;3xFilé bacon;53,70;Pix
03/05/2026;22:13:49;0094;Refrigerante lata,Lombo salada,Filé Completo;49,70;Cartão de Crédito
03/05/2026;22:18:54;0731;Molho da casa,Filé tudo,Molho da casa;24,70;Cartão de Crédito
03/05/2026;22:23:35;0335;Refrigerante lata,Frango tudo;21,80;Dinheiro
03/05/2026;22:29:33;0401;X-Tudo (Padrão),X-Tudo (Padrão);35,80;Pix
03/05/2026;22:29:50;0275;X-Salada (Padrão);16,90;Dinheiro
03/05/2026;22:40:03;0277;2xBatata frita grande,Batata frita grande,Filé tudo;59,60;Pix
03/05/2026;22:45:01;0935;Refrigerante litro,Molho da casa;9,80;Pix
03/05/2026;22:47:51;0035;Lombo bacon,2xRefrigerante litro;31,70;Cartão de Crédito
03/05/2026;22:54:08;0390;2xLombo bacon,2xX-Salada (Artesanal 150g),X-Bacon (Padrão);105,50;Pix
03/05/2026;22:58:28;0468;X-Completo (Padrão);24,90;Dinheiro
03/05/2026;23:07:44;0385;X-Bacon (Padrão);15,90;Cartão de Débito
03/05/2026;23:08:49;0199;Filé salada,Frango tudo;37,80;Cartão de Débito
03/05/2026;23:13:35;0246;Molho da casa;1,90;Cartão de Débito
03/05/2026;23:18:24;0848;X-Tudo (Padrão),Batata frita grande,Lombo tudo,Molho da casa;50,60;Cartão de Débito
03/05/2026;23:23:27;0395;X-Completo (Artesanal 150g);25,90;Pix
03/05/2026;23:25:40;0046;Molho de alho,Batata frita grande,Cerveja Lata,Cerveja Lata;28,60;Cartão de Crédito
03/05/2026;23:33:42;0499;Filé tudo;20,90;Cartão de Débito
04/05/2026;18:07:57;0074;2xLombo tudo,Frango completo,2xX-Tudo (Artesanal 150g);106,50;Cartão de Débito
04/05/2026;18:12:01;0785;Cerveja Lata,Lombo bacon;22,80;Cartão de Crédito
04/05/2026;18:26:19;0186;X-Salada (Artesanal 150g),Cerveja Lata;35,80;Cartão de Crédito
04/05/2026;18:30:30;0543;Lombo bacon,Frango salada,X-Completo (Padrão),Refrigerante lata;61,60;Pix
04/05/2026;18:32:22;0617;2xFilé tudo;41,80;Pix
04/05/2026;18:59:00;0220;Filé tudo;20,90;Cartão de Débito
04/05/2026;18:59:19;0420;Molho da casa,Filé Completo,Lombo salada;47,70;Cartão de Débito
04/05/2026;19:00:19;0654;Molho de alho,Frango tudo,Lombo tudo;37,70;Pix
04/05/2026;19:00:25;0544;Cerveja Lata,Frango bacon,Frango tudo;40,70;Pix
04/05/2026;19:03:56;0171;Frango tudo,Filé salada;37,80;Pix
04/05/2026;19:18:24;0226;X-Salada (Artesanal 150g),2xX-Bacon (Padrão);60,70;Pix
04/05/2026;19:19:35;0241;Refrigerante lata;3,90;Pix
04/05/2026;19:20:07;0141;Frango bacon,Frango tudo;33,80;Cartão de Crédito
04/05/2026;19:23:57;0282;Frango completo,2xLombo completo;74,70;Cartão de Débito
04/05/2026;19:26:24;0341;Frango tudo,Frango salada,Cerveja Lata,Refrigerante litro;49,60;Cartão de Crédito
04/05/2026;19:27:59;0757;3xFrango salada;50,70;Cartão de Débito
04/05/2026;19:32:30;0787;Filé bacon,Frango salada,Filé Completo;63,70;Cartão de Crédito
04/05/2026;19:38:45;0190;Refrigerante litro,Lombo completo,X-Completo (Artesanal 150g),Refrigerante litro;66,60;Pix
04/05/2026;19:46:38;0792;Batata frita pequena,2xCerveja Lata,Frango bacon;38,60;Cartão de Crédito
04/05/2026;19:53:02;0940;Refrigerante litro,2xFrango salada;41,70;Cartão de Crédito
04/05/2026;19:55:15;0768;Molho da casa,Refrigerante lata,Lombo bacon;21,70;Cartão de Débito
04/05/2026;19:57:24;0178;X-Bacon (Artesanal 150g),Batata frita grande,X-Completo (Artesanal 150g);59,70;Pix
04/05/2026;20:01:29;0417;Frango bacon,Refrigerante lata,X-Completo (Padrão);44,70;Pix
04/05/2026;20:03:54;0381;Refrigerante litro,Filé tudo,X-Tudo (Artesanal 150g),Batata frita grande;64,60;Pix
04/05/2026;20:06:43;0085;X-Completo (Padrão);24,90;Cartão de Débito
04/05/2026;20:08:29;0058;Refrigerante litro;7,90;Cartão de Crédito
04/05/2026;20:33:42;0673;Refrigerante lata,X-Completo (Padrão),X-Completo (Artesanal 150g);54,70;Cartão de Débito
04/05/2026;20:34:52;0018;Filé salada,Frango salada;36,80;Cartão de Débito
04/05/2026;20:37:41;0932;Cerveja Lata,X-Tudo (Padrão),Cerveja Lata;31,70;Cartão de Crédito
04/05/2026;20:45:52;0647;Cerveja Lata,X-Salada (Padrão);23,80;Cartão de Crédito
04/05/2026;20:51:59;0530;3xX-Completo (Artesanal 150g),Molho da casa;79,60;Cartão de Crédito
04/05/2026;20:56:58;0400;X-Completo (Padrão),2xMolho da casa;28,70;Cartão de Débito
04/05/2026;20:57:11;0404;Molho de alho,Frango salada,2xCerveja Lata,Frango bacon;48,50;Cartão de Crédito
04/05/2026;20:58:33;0805;3xX-Bacon (Artesanal 150g),X-Tudo (Artesanal 150g),Lombo salada,Lombo salada;119,40;Cartão de Crédito
04/05/2026;21:01:22;0945;2xRefrigerante litro;15,80;Cartão de Débito
04/05/2026;21:29:12;0751;X-Salada (Artesanal 150g),Frango bacon,X-Salada (Artesanal 150g);73,70;Cartão de Crédito
04/05/2026;21:54:19;0221;2xFrango bacon;31,80;Dinheiro
04/05/2026;22:03:52;0160;X-Completo (Artesanal 150g),Molho da casa,Filé tudo,Filé bacon;66,60;Pix
04/05/2026;22:04:51;0292;2xBatata frita grande,X-Bacon (Artesanal 150g);46,70;Pix
04/05/2026;22:14:04;0122;Filé tudo;20,90;Cartão de Débito
04/05/2026;22:27:20;0266;Lombo completo,Lombo salada;41,80;Cartão de Crédito
04/05/2026;22:39:39;0430;X-Salada (Artesanal 150g),Frango bacon,Filé salada,Lombo completo;89,60;Cartão de Débito
04/05/2026;22:41:48;0442;Refrigerante litro,Frango salada,2xX-Salada (Padrão),Frango bacon;74,50;Cartão de Débito
04/05/2026;22:43:06;0296;Cerveja Lata;6,90;Cartão de Débito
04/05/2026;23:03:42;0662;Refrigerante lata,Batata frita grande,Frango salada;33,70;Pix
04/05/2026;23:05:46;0212;X-Tudo (Artesanal 150g),X-Salada (Artesanal 150g),2xX-Completo (Padrão);101,60;Cartão de Crédito
04/05/2026;23:14:35;0586;Lombo tudo,Batata frita grande,3xBatata frita pequena;57,50;Pix
04/05/2026;23:20:14;0229;Lombo salada;16,90;Cartão de Crédito
04/05/2026;23:24:59;0819;Frango salada,Cerveja Lata;23,80;Cartão de Débito
04/05/2026;23:34:09;0575;X-Bacon (Artesanal 150g),X-Completo (Artesanal 150g),2xFilé Completo,2xX-Tudo (Padrão);140,40;Dinheiro
04/05/2026;23:57:45;0870;X-Tudo (Padrão),2xFrango salada,Molho de alho,Lombo completo;78,50;Cartão de Crédito
05/05/2026;18:05:21;0678;X-Tudo (Padrão),X-Salada (Padrão),X-Salada (Artesanal 150g);63,70;Dinheiro
05/05/2026;18:06:43;0216;2xX-Completo (Padrão),X-Tudo (Artesanal 150g),Filé Completo,Lombo completo;126,50;Pix
05/05/2026;18:13:10;0181;X-Tudo (Padrão);17,90;Cartão de Crédito
05/05/2026;18:20:05;0200;Molho da casa,Refrigerante litro;9,80;Cartão de Crédito
05/05/2026;18:30:03;0207;Frango bacon;15,90;Pix
05/05/2026;18:38:02;0987;Frango bacon,Lombo salada,Frango tudo,Frango salada;67,60;Pix
05/05/2026;18:55:21;0531;X-Completo (Artesanal 150g),Frango bacon,Filé bacon,3xX-Tudo (Artesanal 150g);128,40;Cartão de Crédito
05/05/2026;19:07:17;0546;Filé salada,Batata frita pequena,Frango salada,Batata frita pequena;54,60;Pix
05/05/2026;19:07:33;0081;Molho da casa;1,90;Cartão de Crédito
05/05/2026;19:10:46;0225;Frango tudo,3xLombo tudo;71,60;Pix
05/05/2026;19:11:09;0095;Molho da casa;1,90;Cartão de Crédito
05/05/2026;19:22:11;0865;Cerveja Lata;6,90;Pix
05/05/2026;19:24:45;0652;Frango salada,X-Salada (Padrão),X-Salada (Padrão),Refrigerante litro;58,60;Dinheiro
05/05/2026;19:29:14;0139;Lombo tudo;17,90;Cartão de Crédito
05/05/2026;19:49:26;0320;2xFrango tudo,Batata frita grande;48,70;Pix
05/05/2026;19:53:13;0292;X-Completo (Artesanal 150g),Batata frita grande,2xX-Completo (Padrão);88,60;Pix
05/05/2026;19:53:47;0031;X-Completo (Padrão),Filé bacon,Filé salada,2xMolho de alho;66,50;Pix
05/05/2026;19:53:49;0258;Filé salada;19,90;Cartão de Crédito
05/05/2026;20:04:35;0441;Cerveja Lata;6,90;Cartão de Débito
05/05/2026;20:28:11;0923;X-Salada (Artesanal 150g),X-Completo (Padrão),Frango completo,2xX-Tudo (Padrão);114,50;Cartão de Débito
05/05/2026;20:28:34;0113;2xX-Bacon (Artesanal 150g),Filé Completo,Frango tudo,Lombo tudo;106,50;Cartão de Débito
05/05/2026;20:41:30;0495;X-Completo (Artesanal 150g),Refrigerante litro;33,80;Pix
05/05/2026;20:43:50;0485;X-Bacon (Padrão),Frango bacon,Lombo completo;56,70;Cartão de Débito
05/05/2026;20:45:02;0075;Frango tudo;17,90;Cartão de Crédito
05/05/2026;20:48:51;0325;X-Completo (Artesanal 150g);25,90;Cartão de Crédito
05/05/2026;20:48:56;0361;2xFilé Completo,2xFrango bacon;89,60;Pix
05/05/2026;20:49:26;0017;X-Salada (Padrão),Molho da casa;18,80;Cartão de Débito
05/05/2026;21:00:18;0048;X-Tudo (Padrão),X-Completo (Artesanal 150g),3xBatata frita grande,Lombo salada;99,40;Pix
05/05/2026;21:00:32;0153;Lombo bacon;15,90;Pix
05/05/2026;21:09:45;0577;Refrigerante litro;7,90;Cartão de Débito
05/05/2026;21:17:31;0283;Filé salada,X-Tudo (Artesanal 150g),Molho da casa,Molho de alho;46,60;Dinheiro
05/05/2026;21:20:27;0234;Frango completo,X-Tudo (Padrão),Refrigerante lata;46,70;Pix
05/05/2026;21:31:07;0525;X-Salada (Artesanal 150g),Batata frita grande,Lombo completo,X-Completo (Artesanal 150g);92,60;Dinheiro
05/05/2026;21:38:41;0069;2xFilé tudo,Lombo tudo,Filé bacon,Cerveja Lata;84,50;Dinheiro
05/05/2026;21:48:00;0571;Refrigerante litro,Refrigerante lata,X-Bacon (Padrão),Frango salada;44,60;Pix
05/05/2026;21:49:21;0817;Refrigerante lata,2xBatata frita grande,Molho da casa,Batata frita pequena;40,50;Cartão de Débito
05/05/2026;21:49:27;0951;Molho de alho,Filé tudo,X-Tudo (Padrão),Frango completo;65,60;Cartão de Débito
05/05/2026;21:54:41;0121;Lombo salada,Molho da casa;18,80;Cartão de Crédito
05/05/2026;21:54:55;0638;X-Tudo (Padrão),2xX-Tudo (Artesanal 150g),Batata frita pequena,X-Bacon (Artesanal 150g);93,50;Pix
05/05/2026;21:55:21;0351;Frango completo,2xX-Salada (Artesanal 150g),X-Salada (Artesanal 150g);111,60;Pix
05/05/2026;21:56:17;0251;Batata frita pequena;8,90;Pix
05/05/2026;22:07:02;0435;Lombo salada,Molho da casa;18,80;Cartão de Crédito
05/05/2026;22:10:29;0398;Filé bacon,Frango completo,Frango salada;59,70;Pix
05/05/2026;22:11:57;0009;Frango tudo,Molho de alho,X-Salada (Padrão);36,70;Cartão de Crédito
